point,parameter,date,location,lat,lon,value,category
100,pm2.5,2024-01-01,Mumbai-8039,19.07283,72.88261,105.4090909090909,Hazardous
99,pm2.5,2024-01-01,New Delhi-8118,28.63576,77.22445,213.72727272727272,Hazardous
98,pm2.5,2024-01-01,Kolkata-931703,22.56263,88.36304,176.86363636363637,Hazardous
97,pm2.5,2024-01-01,Hyderabad-8557,17.38405,78.45636,94.63636363636364,Hazardous
96,pm2.5,2024-01-01,Chennai-931708,13.08784,80.278475,93.0909090909091,Hazardous
91,pm2.5,2024-01-01,Malav-3144133,22.70763,75.85257,0.1124347826086956,Normal
87,pm2.5,2024-01-01,Bicholi Hapsi-3144130,22.71771,75.93739,0.1076666666666666,Normal
77,pm2.5,2024-01-01,Musakhedi-3144129,22.6967,75.89488,0.102047619047619,Normal
76,pm2.5,2024-01-02,Mumbai-8039,19.07283,72.88261,108.95652173913044,Hazardous
75,pm2.5,2024-01-02,New Delhi-8118,28.63576,77.22445,205.3913043478261,Hazardous
74,pm2.5,2024-01-02,Kolkata-931703,22.56263,88.36304,167.34782608695653,Hazardous
73,pm2.5,2024-01-02,Hyderabad-8557,17.38405,78.45636,100.56521739130434,Hazardous
72,pm2.5,2024-01-02,Chennai-931708,13.08784,80.278475,60.08695652173913,Hazardous
67,pm2.5,2024-01-02,Malav-3144133,22.70763,75.85257,0.0993333333333333,Normal
63,pm2.5,2024-01-02,Bicholi Hapsi-3144130,22.71771,75.93739,0.0946315789473684,Normal
53,pm2.5,2024-01-02,Musakhedi-3144129,22.6967,75.89488,0.0894166666666666,Normal
52,pm2.5,2024-01-03,Mumbai-8039,19.07283,72.88261,107.7391304347826,Hazardous
51,pm2.5,2024-01-03,New Delhi-8118,28.63576,77.22445,222.65217391304347,
50,pm2.5,2024-01-03,Kolkata-931703,22.56263,88.36304,147.95652173913044,Hazardous
49,pm2.5,2024-01-03,Hyderabad-8557,17.38405,78.45636,110.04347826086956,Hazardous
48,pm2.5,2024-01-03,Chennai-931708,13.08784,80.278475,63.95652173913044,Hazardous
43,pm2.5,2024-01-03,Malav-3144133,22.70763,75.85257,0.0818749999999999,Normal
39,pm2.5,2024-01-03,Bicholi Hapsi-3144130,22.71771,75.93739,0.0868,Normal
29,pm2.5,2024-01-03,Musakhedi-3144129,22.6967,75.89488,0.0798235294117647,Normal
28,pm2.5,2024-01-04,Mumbai-8039,19.07283,72.88261,113.36363636363636,Hazardous
27,pm2.5,2024-01-04,New Delhi-8118,28.63576,77.22445,257.7391304347826,
26,pm2.5,2024-01-04,Kolkata-931703,22.56263,88.36304,171.47619047619048,Hazardous
25,pm2.5,2024-01-04,Hyderabad-8557,17.38405,78.45636,95.78260869565216,Hazardous
24,pm2.5,2024-01-04,Chennai-931708,13.08784,80.278475,64.56521739130434,Hazardous
19,pm2.5,2024-01-04,Malav-3144133,22.70763,75.85257,0.1067083333333333,Normal
15,pm2.5,2024-01-04,Bicholi Hapsi-3144130,22.71771,75.93739,0.1040833333333333,Normal
5,pm2.5,2024-01-04,Musakhedi-3144129,22.6967,75.89488,0.0956521739130434,Normal
4,pm2.5,2024-01-05,Mumbai-8039,19.07283,72.88261,118.2608695652174,Hazardous
3,pm2.5,2024-01-05,New Delhi-8118,28.63576,77.22445,202.17391304347825,Hazardous
2,pm2.5,2024-01-05,Kolkata-931703,22.56263,88.36304,204.3913043478261,Hazardous
1,pm2.5,2024-01-05,Hyderabad-8557,17.38405,78.45636,73.56521739130434,Hazardous
100,pm2.5,2024-01-05,Chennai-931708,13.08784,80.278475,54.65217391304348,Moderate
95,pm2.5,2024-01-05,Malav-3144133,22.70763,75.85257,0.1100833333333333,Normal
91,pm2.5,2024-01-05,Bicholi Hapsi-3144130,22.71771,75.93739,0.1076666666666666,Normal
81,pm2.5,2024-01-05,Musakhedi-3144129,22.6967,75.89488,0.101625,Normal
80,pm2.5,2024-01-06,Mumbai-8039,19.07283,72.88261,103.34782608695652,Hazardous
79,pm2.5,2024-01-06,New Delhi-8118,28.63576,77.22445,197.3913043478261,Hazardous
78,pm2.5,2024-01-06,Kolkata-931703,22.56263,88.36304,165.17391304347825,Hazardous
77,pm2.5,2024-01-06,Hyderabad-8557,17.38405,78.45636,50.43478260869565,Moderate
76,pm2.5,2024-01-06,Chennai-931708,13.08784,80.278475,27.73913043478261,Normal
71,pm2.5,2024-01-06,Malav-3144133,22.70763,75.85257,0.0854583333333333,Normal
67,pm2.5,2024-01-06,Bicholi Hapsi-3144130,22.71771,75.93739,0.0811363636363636,Normal
57,pm2.5,2024-01-06,Musakhedi-3144129,22.6967,75.89488,0.0811739130434782,Normal
56,pm2.5,2024-01-07,Mumbai-8039,19.07283,72.88261,99.30434782608695,Hazardous
55,pm2.5,2024-01-07,New Delhi-8118,28.63576,77.22445,193.6086956521739,Hazardous
54,pm2.5,2024-01-07,Kolkata-931703,22.56263,88.36304,207.1304347826087,Hazardous
53,pm2.5,2024-01-07,Hyderabad-8557,17.38405,78.45636,56.08695652173913,Moderate
52,pm2.5,2024-01-07,Chennai-931708,13.08784,80.278475,25.60869565217392,Normal
47,pm2.5,2024-01-07,Malav-3144133,22.70763,75.85257,0.064,Normal
43,pm2.5,2024-01-07,Bicholi Hapsi-3144130,22.71771,75.93739,0.0591666666666666,Normal
33,pm2.5,2024-01-07,Musakhedi-3144129,22.6967,75.89488,0.0599090909090909,Normal
32,pm2.5,2024-01-08,Mumbai-8039,19.07283,72.88261,68.78260869565217,Hazardous
31,pm2.5,2024-01-08,New Delhi-8118,28.63576,77.22445,278.7826086956522,
30,pm2.5,2024-01-08,Kolkata-931703,22.56263,88.36304,206.5652173913044,Hazardous
29,pm2.5,2024-01-08,Hyderabad-8557,17.38405,78.45636,66.6086956521739,Hazardous
28,pm2.5,2024-01-08,Chennai-931708,13.08784,80.278475,36.65217391304348,Moderate
23,pm2.5,2024-01-08,Malav-3144133,22.70763,75.85257,0.0885416666666666,Normal
19,pm2.5,2024-01-08,Bicholi Hapsi-3144130,22.71771,75.93739,0.0822916666666666,Normal
9,pm2.5,2024-01-08,Musakhedi-3144129,22.6967,75.89488,0.0929166666666666,Normal
8,pm2.5,2024-01-09,Mumbai-8039,19.07283,72.88261,80.26086956521739,Hazardous
7,pm2.5,2024-01-09,New Delhi-8118,28.63576,77.22445,160.43478260869566,Hazardous
6,pm2.5,2024-01-09,Kolkata-931703,22.56263,88.36304,189.43478260869568,Hazardous
